RD, 4, 131072, 0.179344
CR, 4, 131071, 0.019968
RD, 4, 262144, 0.312575
CR, 4, 262143, 0.039014
RD, 4, 524288, 0.592645
CR, 4, 524287, 0.079746
RD, 4, 1048576, 1.201288
CR, 4, 1048575, 0.165832
RD, 8, 256, 0.089817
CR, 8, 255, 0.000442
RD, 8, 512, 0.085615
CR, 8, 511, 0.000562
RD, 8, 1024, 0.086443
CR, 8, 1023, 0.000811
RD, 8, 2048, 0.087438
CR, 8, 2047, 0.000878
RD, 8, 4096, 0.087940
CR, 8, 4095, 0.001061
RD, 8, 8192, 0.090425
CR, 8, 8191, 0.001137
RD, 8, 16384, 0.094234
CR, 8, 16383, 0.001856
RD, 8, 32768, 0.102006
CR, 8, 32767, 0.003085
RD, 8, 65536, 0.118676
CR, 8, 65535, 0.005459
RD, 8, 131072, 0.154623
CR, 8, 131071, 0.010306
RD, 8, 262144, 0.224259
CR, 8, 262143, 0.020103
RD, 8, 524288, 0.378141
CR, 8, 524287, 0.039365
RD, 8, 1048576, 0.707444
CR, 8, 1048575, 0.084499
RD, 16, 256, 0.151944
CR, 16, 255, 0.000702
RD, 16, 512, 0.145876
CR, 16, 511, 0.000730
RD, 16, 1024, 0.144675
CR, 16, 1023, 0.000924
RD, 16, 2048, 0.146610
CR, 16, 2047, 0.001011
RD, 16, 4096, 0.149119
CR, 16, 4095, 0.001022
RD, 16, 8192, 0.148901
CR, 16, 8191, 0.001252
RD, 16, 16384, 0.153114
CR, 16, 16383, 0.001267
RD, 16, 32768, 0.157095
CR, 16, 32767, 0.001912
RD, 16, 65536, 0.167030
CR, 16, 65535, 0.003182
RD, 16, 131072, 0.183214
CR, 16, 131071, 0.005637
RD, 16, 262144, 0.226519
CR, 16, 262143, 0.010709
RD, 16, 524288, 0.315592
CR, 16, 524287, 0.021096
RD, 16, 1048576, 0.513302
CR, 16, 1048575, 0.044072
RD, 32, 256, 0.270360
CR, 32, 255, 0.041809
RD, 32, 512, 0.292754
CR, 32, 511, 0.041727
RD, 32, 1024, 0.290679
CR, 32, 1023, 0.043693
RD, 32, 2048, 0.392029
CR, 32, 2047, 0.043382
RD, 32, 4096, 0.321753
CR, 32, 4095, 0.044083
RD, 32, 8192, 0.444425
